TimeElapsed(s),GazeX,GazeY,PlayerScore
19.88124,233.8976,717.3484,1
19.91721,231.8438,710.3342,1
19.95139,224.6718,700.3456,1
19.98228,223.6908,699.7086,1
20.01484,152.799,695.1039,1
20.05063,77.84528,678.3551,1
20.08157,49.1153,658.3567,1
20.11559,45.04635,655.8531,1
20.15136,56.21183,659.9367,1
20.18331,60.56771,662.5635,1
20.21611,66.76399,665.0683,1
20.25101,59.89377,667.6194,1
20.28466,71.69806,666.7676,1
20.31666,559.0976,872.2934,1
20.34913,1218.826,1119.334,1
20.38053,1396.098,1161.77,1
20.41711,1394.621,1152.712,1
20.44804,1385.991,1142.528,1
20.48108,1392.883,1141.647,1
20.5162,1403.324,1140.308,1
20.55017,1394.252,1146.46,1
20.58273,1391.836,1150.137,1
20.6166,1398.687,1154.713,1
20.64919,1404.674,1149.568,1
20.68447,1448.863,1147.083,1
20.71819,1009.192,997.3573,1
20.74958,-124.8218,626.866,1
20.78395,-1062.504,100.5881,1
20.81449,-1115.774,-339.4877,1
20.85225,-820.7815,-471.6409,1
20.88292,-739.1483,-484.247,1
20.91431,-736.7682,-480.0502,1
20.95209,-728.3619,-452.9376,1
20.98103,-728.2084,-459.036,1
21.01548,-735.9141,-455.6652,1
21.05084,-731.684,-451.7262,1
21.08389,-729.0776,-457.2048,1
21.1172,-731.8519,-452.6989,1
21.15164,-717.905,-447.7943,1
21.18381,-659.4713,-444.4007,1
21.2143,-363.6155,-421.5449,1
21.24814,-75.49997,-390.0492,1
21.28504,-78.64511,-382.8893,1
21.31381,-91.46928,-381.4377,1
21.3495,-90.08677,-391.5269,1
21.3859,-87.99519,-386.4997,1
21.41508,-89.16936,-389.3337,1
21.45068,-86.80626,-398.0099,1
21.48206,-91.3676,-385.672,1
21.51482,63.42944,-372.8095,1
21.55014,291.1325,-367.0097,1
21.58488,285.8354,-367.4952,1
21.61402,289.8233,-359.9245,1
21.65071,297.7056,-355.3409,1
21.68268,299.5423,-361.8889,1
